Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.11449219717247436,0.0026148047623631384
AH,T,1,-0.1455509722975662,0.0001260565843304852
T,AH,0,0.11449219717247436,0.0026148047623631384
$PM_{10}$,AH,0,-0.5342921245001476,5.714790950000979e-52
$Flu_B$,AH,0,0.0781740825033451,0.04037456104850378
T,$PM_{10}$,1,-0.2268670135360946,1.8088872765491452e-09
T,$PM_{10}$,2,-0.09210713161757574,0.015814645970860103
AH,$PM_{10}$,0,-0.5342921245001476,5.714790950000979e-52
T,$Flu_B$,1,-0.12083433659128512,0.0014966436608026426
AH,$Flu_B$,0,0.0781740825033451,0.04037456104850378
